zona,piso_termico,altitud_msnm,presupuesto,area_m2,recomendados,n_recomendados,precision,no_verificables_ia,apt_viables_tabla,recall_at5
Turmequé,frío,2354.0,2000000,10000,"Hongo ostra (Pleurotus ostreatus) en bolsa sobre residuos agrícolas, Lechuga baby leaf hidropónica en sistema flotante, Albahaca (Ocimum basilicum) para fresco y venta gourmet, Uchuva (Physalis peruviana) en sistema tecnificado, Fresa bajo macrotúnel o cubierta liviana",5,1.0,1,23,0.174
Villavicencio,cálido,437.0,50000000,100000,"Yuca industrial, Hierbabuena (Mentha spicata), Guanábana (cultivar mejorado tipo AGROSAVIA), Albahaca (Ocimum basilicum) bajo manejo tecnificado",4,1.0,2,15,0.133
Tocancipá,frío,2595.0,5000000,5000,"Lechuga crespa en hidroponia NFT, Hierbabuena / menta, Cilantro de corte, Albahaca aromatica, Fresa tecnificada en mesa o sustrato",5,1.0,1,22,0.182
Santa Marta,cálido,10.0,10000000,2000,"Lechuga hidropónica tipo romana/crespa en sistema NFT bajo invernadero o malla, Hierbabuena (Mentha spicata) intensiva en camas elevadas o macetas, Microgreens gourmet mixtos (rábano, mostaza, girasol, arveja), Albahaca genovesa/culinaria bajo malla sombra o hidroponía",4,1.0,2,15,0.133
Pasto,frío alto,2546.0,8000000,8000,"Mora de Castilla, Romero en seto o cama tecnificada, Lechuga hidropónica tipo batavia/crespa bajo cubierta, Cilantro de corte intensivo, Uchuva",5,1.0,1,21,0.19
Armenia,templado,1472.0,15000000,3000,"Lechuga hidropónica tipo NFT bajo cubierta, Albahaca fresca gourmet en invernadero, Cilantro de corte fino en ambiente protegido",3,1.0,0,17,0.176
Florencia,cálido,258.0,3000000,10000,"Yuca industrial para transformación (harina/almidón), Guayaba mejorada para mercado fresco y pulpa, Sacha inchi",3,1.0,2,15,0.067
Medellín,templado,1476.0,20000000,4000,"Flor de corte bajo invernadero (crisantemo o clavel estándar), Orellana (Pleurotus ostreatus) en sala controlada, Lechuga hidropónica (sistema NFT o raíz flotante), Albahaca aromática en hidroponía o sustrato protegido",4,1.0,2,17,0.118
Valledupar,cálido,169.0,8000000,8000,"Hierbabuena (Mentha spicata) para fresco, secado y aceites, Forraje verde hidropónico de maiz o cebada, Lechuga hidropónica en sistema protegido o malla sombra, Maracuya (Passiflora edulis), Albahaca (Ocimum basilicum) para fresco y coproductos",5,1.0,1,15,0.267
Chocontá,frío,2653.0,6000000,6000,"Lechuga hidropónica tipo baby leaf / cabeza en NFT bajo cubierta, Cilantro de corte, Uchuva, Fresa bajo cubierta, Arveja grano verde con tutorado",5,1.0,0,20,0.25
